Date;Time;D3;D4;D13;D14;D5;D6;D7;D8;D15;D18
13-11-2007;20:45:00;50;88;74;48;78;74;79;82;53;94
13-11-2007;21:00:00;47;79;63;40;70;86;79;95;56;77
13-11-2007;21:15:00;30;55;45;27;58;70;63;78;53;67
13-11-2007;21:30:00;46;78;65;48;62;67;79;77;63;88
13-11-2007;21:45:00;52;79;55;50;62;83;75;87;56;71
13-11-2007;22:00:00;44;74;46;37;60;73;87;71;58;82
13-11-2007;22:15:00;37;68;40;43;72;79;94;92;71;83
13-11-2007;22:30:00;37;52;38;42;70;68;83;78;50;84
13-11-2007;22:45:00;49;47;49;42;49;48;46;57;57;53
13-11-2007;23:00:00;49;50;52;38;56;55;65;49;59;66
13-11-2007;23:15:00;34;58;45;37;64;57;69;64;46;60
13-11-2007;23:30:00;40;48;35;44;50;35;51;34;24;54
13-11-2007;23:45:00;36;58;30;27;46;56;45;52;29;57
14-11-2007;00:00:00;28;31;21;19;30;29;33;36;26;47
14-11-2007;00:15:00;20;38;16;19;22;36;21;35;22;33
14-11-2007;00:30:00;13;20;16;14;25;27;27;28;22;29
14-11-2007;00:45:00;13;20;20;19;23;24;30;23;29;31
14-11-2007;01:00:00;14;18;17;17;13;18;23;20;34;22
14-11-2007;01:15:00;12;16;10;11;13;18;14;19;29;18
14-11-2007;01:30:00;4;5;3;3;15;16;18;15;13;17
14-11-2007;01:45:00;4;6;4;4;12;19;15;16;15;26
14-11-2007;02:15:00;6;9;5;5;7;13;7;11;8;7
14-11-2007;02:30:00;2;2;3;2;11;6;9;6;6;10
14-11-2007;02:45:00;2;3;2;2;10;11;13;11;12;13
14-11-2007;03:00:00;2;2;2;3;4;5;4;4;6;4
14-11-2007;03:15:00;4;5;5;5;2;3;2;2;2;2
14-11-2007;04:00:00;6;8;10;11;13;11;13;9;15;13
14-11-2007;04:30:00;4;3;3;4;5;4;4;4;5;4
14-11-2007;04:45:00;8;8;9;11;20;19;22;21;24;29
14-11-2007;05:00:00;6;6;6;10;22;17;21;17;23;26
14-11-2007;05:15:00;12;24;21;23;29;31;24;32;37;29
14-11-2007;05:30:00;22;27;34;42;41;31;44;30;34;37
14-11-2007;05:45:00;42;54;51;57;71;63;62;66;67;75
14-11-2007;06:00:00;59;71;81;108;112;98;105;97;87;124
14-11-2007;06:15:00;54;77;124;137;133;94;136;94;110;152
14-11-2007;06:30:00;86;136;141;164;200;146;181;150;133;231
14-11-2007;06:45:00;148;250;250;255;342;271;310;272;234;361
14-11-2007;07:00:00;196;322;317;348;408;342;384;343;279;411
14-11-2007;07:15:00;273;354;378;384;457;365;413;355;276;417
14-11-2007;07:30:00;366;519;459;460;608;530;548;526;417;551
14-11-2007;07:45:00;339;505;419;433;577;508;533;530;444;536
14-11-2007;08:00:00;392;601;485;498;549;564;524;552;415;510
14-11-2007;08:15:00;383;631;546;511;606;591;547;592;435;587
14-11-2007;08:30:00;328;554;459;464;542;537;478;550;445;530
14-11-2007;08:45:00;322;591;425;466;523;553;488;551;399;522
14-11-2007;09:00:00;236;417;388;400;457;415;424;418;304;471
14-11-2007;09:15:00;252;417;332;354;387;407;368;396;288;428
14-11-2007;09:30:00;209;395;340;302;360;382;372;374;300;358
14-11-2007;09:45:00;210;359;318;322;387;334;377;343;327;401
14-11-2007;10:00:00;220;334;342;326;349;308;352;292;236;389
14-11-2007;10:15:00;227;352;310;283;329;333;335;314;331;382
14-11-2007;10:30:00;202;312;290;268;340;309;342;303;299;386
14-11-2007;10:45:00;193;301;272;239;321;297;343;314;261;359
14-11-2007;11:00:00;251;412;333;311;359;360;372;386;300;415
14-11-2007;11:15:00;210;318;253;245;297;316;313;332;277;336
14-11-2007;11:30:00;203;360;300;272;310;337;349;354;320;377
14-11-2007;11:45:00;202;298;256;243;267;273;284;304;285;340
14-11-2007;12:00:00;213;384;272;246;333;377;333;386;299;365
14-11-2007;12:15:00;239;387;290;262;296;345;303;348;295;331
14-11-2007;12:30:00;214;341;315;271;340;357;363;395;332;386
14-11-2007;12:45:00;231;382;305;252;330;359;349;367;305;367
14-11-2007;13:00:00;228;377;287;246;332;330;345;369;293;354
14-11-2007;13:15:00;191;328;276;237;310;340;316;360;295;372
14-11-2007;13:30:00;220;359;289;274;329;329;359;349;306;379
14-11-2007;13:45:00;228;395;293;292;319;339;337;367;332;380
14-11-2007;14:00:00;199;374;290;274;328;361;326;368;319;394
14-11-2007;14:15:00;227;410;275;266;343;384;358;388;348;436
14-11-2007;14:30:00;248;464;303;283;372;415;368;429;374;423
14-11-2007;14:45:00;257;498;395;329;417;486;438;485;436;465
14-11-2007;15:00:00;269;524;373;339;417;450;417;463;417;482
14-11-2007;15:15:00;236;491;404;344;459;451;462;490;465;533
14-11-2007;15:30:00;226;471;430;357;476;463;462;483;463;574
14-11-2007;15:45:00;241;507;464;401;526;503;563;522;531;617
14-11-2007;16:00:00;255;534;446;392;445;483;479;508;461;539
14-11-2007;16:15:00;269;540;557;464;537;476;530;495;482;605
14-11-2007;16:30:00;246;484;544;456;586;471;586;501;517;662
14-11-2007;16:45:00;254;518;488;433;499;417;502;429;388;528
14-11-2007;17:00:00;220;400;455;388;546;364;543;376;360;583
14-11-2007;17:15:00;188;350;367;304;458;329;480;350;304;491
14-11-2007;17:30:00;190;344;381;312;445;340;467;372;268;501
14-11-2007;17:45:00;143;229;289;249;342;246;365;273;220;380
14-11-2007;18:00:00;134;230;243;188;309;244;352;279;218;357
14-11-2007;18:15:00;170;278;271;204;282;252;303;285;218;319
14-11-2007;18:30:00;127;196;196;165;216;191;235;213;177;257
14-11-2007;18:45:00;128;208;175;140;226;195;248;226;158;242
14-11-2007;19:00:00;110;171;164;143;188;184;210;198;137;223
14-11-2007;19:15:00;97;150;129;102;152;148;163;158;105;164
14-11-2007;19:30:00;105;155;149;122;165;138;175;158;137;193
14-11-2007;19:45:00;110;172;111;103;138;126;141;141;91;165
14-11-2007;20:00:00;105;154;128;114;137;127;140;141;100;163
14-11-2007;20:15:00;68;105;84;56;126;112;134;125;118;166
14-11-2007;20:30:00;82;124;102;69;109;107;103;127;101;134
14-11-2007;20:45:00;58;78;81;76;104;92;108;105;92;145
14-11-2007;21:00:00;80;120;95;97;100;120;105;114;64;125
14-11-2007;21:15:00;54;87;78;66;89;92;103;106;79;109
14-11-2007;21:30:00;68;93;72;59;89;110;89;107;83;113
14-11-2007;21:45:00;63;93;79;62;82;110;103;111;100;103
14-11-2007;22:00:00;65;102;81;62;94;91;108;112;78;128
14-11-2007;22:15:00;58;82;68;57;91;86;98;87;67;105
14-11-2007;22:30:00;53;74;60;52;89;79;90;75;79;110
14-11-2007;22:45:00;47;63;63;52;81;69;92;74;71;86
14-11-2007;23:00:00;56;60;55;49;63;52;78;55;48;71
14-11-2007;23:15:00;51;55;59;49;72;51;93;58;49;73
14-11-2007;23:30:00;44;57;42;33;53;61;60;57;44;68
14-11-2007;23:45:00;30;46;24;26;43;53;43;57;45;66
15-11-2007;00:00:00;23;39;20;14;20;36;25;39;31;40
15-11-2007;00:15:00;9;18;9;8;24;27;22;24;28;35
15-11-2007;00:30:00;10;17;10;9;13;27;16;24;19;20
15-11-2007;00:45:00;3;3;5;4;19;20;22;18;22;16
15-11-2007;01:00:00;9;9;11;9;21;19;24;17;38;24
15-11-2007;01:15:00;6;7;5;6;11;18;13;16;15;11
15-11-2007;01:30:00;7;9;7;6;14;18;14;20;18;14
15-11-2007;01:45:00;8;10;8;7;11;15;11;13;13;15
15-11-2007;02:00:00;1;2;1;1;8;9;10;9;8;9
15-11-2007;02:15:00;3;4;3;3;8;10;8;10;9;10
15-11-2007;02:30:00;3;2;2;2;9;12;10;8;8;12
15-11-2007;02:45:00;2;2;3;2;7;7;7;6;7;7
15-11-2007;03:00:00;3;2;1;1;8;9;8;9;7;10
15-11-2007;03:15:00;8;8;8;9;15;13;19;12;11;12
15-11-2007;03:30:00;6;6;6;6;11;12;12;12;14;12
15-11-2007;03:45:00;4;5;4;5;7;8;7;8;14;7
15-11-2007;04:00:00;1;2;1;1;3;3;3;3;4;3
15-11-2007;04:15:00;4;5;5;7;7;5;8;5;6;6
15-11-2007;04:30:00;5;4;4;5;6;6;8;6;6;10
15-11-2007;04:45:00;11;12;9;11;19;20;19;22;30;23
15-11-2007;05:00:00;16;24;23;29;25;22;30;22;39;33
15-11-2007;05:15:00;13;16;25;28;27;33;37;35;39;39
15-11-2007;05:30:00;18;17;35;36;45;27;48;29;32;66
15-11-2007;05:45:00;38;46;47;57;77;56;78;59;67;74
15-11-2007;06:00:00;60;76;71;109;94;80;95;89;80;109
15-11-2007;06:15:00;67;86;108;139;121;114;114;105;108;142
15-11-2007;06:30:00;98;141;164;185;205;150;189;153;163;214
15-11-2007;06:45:00;152;231;237;253;279;263;273;255;225;302
15-11-2007;07:00:00;199;319;322;364;444;328;423;324;261;448
15-11-2007;07:15:00;252;332;359;345;453;350;411;349;293;417
15-11-2007;07:30:00;349;469;457;456;558;479;505;477;394;522
15-11-2007;07:45:00;362;537;472;498;626;527;574;536;442;596
15-11-2007;08:00:00;426;652;500;483;597;632;535;613;492;585
15-11-2007;08:15:00;323;572;478;445;514;551;479;544;429;509
15-11-2007;08:30:00;385;622;533;529;593;604;567;597;473;595
15-11-2007;08:45:00;298;570;388;417;467;532;437;557;411;486
15-11-2007;09:00:00;318;563;418;441;472;515;453;513;386;475
15-11-2007;09:15:00;245;409;384;379;430;392;421;388;291;442
15-11-2007;09:30:00;193;300;268;250;361;332;354;333;270;378
15-11-2007;09:45:00;203;304;290;282;358;297;351;290;259;376
15-11-2007;10:00:00;204;364;309;321;349;339;357;347;278;350
15-11-2007;10:15:00;196;305;250;255;322;297;325;298;258;364
15-11-2007;10:30:00;183;325;286;267;338;320;331;336;263;369
15-11-2007;10:45:00;186;292;274;231;349;290;361;307;283;378
15-11-2007;11:00:00;207;286;260;244;330;271;337;282;250;361
15-11-2007;11:15:00;200;317;249;248;308;316;322;327;288;353
15-11-2007;11:30:00;187;316;258;243;317;293;349;309;263;372
15-11-2007;11:45:00;204;347;260;242;313;330;320;333;258;378
15-11-2007;12:00:00;217;387;285;241;333;375;343;351;321;379
15-11-2007;12:15:00;212;361;286;251;325;334;327;338;294;371
15-11-2007;12:30:00;206;352;277;249;323;340;332;354;294;373
15-11-2007;12:45:00;194;325;281;236;346;309;345;341;306;377
15-11-2007;13:00:00;184;319;275;262;334;312;337;332;281;391
15-11-2007;13:15:00;187;327;273;254;351;327;346;364;309;405
15-11-2007;13:30:00;192;328;272;235;341;316;354;340;303;396
15-11-2007;13:45:00;201;383;303;260;365;361;365;377;315;441
15-11-2007;14:00:00;218;383;308;300;341;381;351;386;346;426
15-11-2007;14:15:00;211;407;327;298;318;356;331;385;339;392
15-11-2007;14:30:00;261;516;341;290;376;449;388;466;429;460
15-11-2007;14:45:00;278;523;347;294;414;492;429;505;445;486
15-11-2007;15:00:00;282;561;389;357;401;465;408;454;421;477
15-11-2007;15:15:00;263;565;454;357;476;529;506;550;566;598
15-11-2007;15:30:00;287;546;471;408;510;479;528;498;449;606
15-11-2007;15:45:00;222;465;454;371;533;478;521;483;462;625
15-11-2007;16:00:00;280;580;503;410;559;536;546;535;514;645
15-11-2007;16:15:00;248;521;541;430;534;484;527;495;434;584
15-11-2007;16:30:00;245;452;530;449;649;445;614;458;468;637
15-11-2007;16:45:00;236;428;425;368;519;372;503;402;366;578
15-11-2007;17:00:00;253;475;485;403;541;401;571;432;396;620
15-11-2007;17:15:00;228;426;511;443;522;359;566;385;323;573
15-11-2007;17:30:00;202;370;409;317;420;304;438;342;263;470
15-11-2007;17:45:00;212;338;294;238;334;301;349;329;250;380
15-11-2007;18:00:00;169;312;303;249;286;240;309;283;224;337
15-11-2007;18:15:00;158;243;280;193;286;222;336;282;247;319
15-11-2007;18:30:00;133;208;206;176;245;202;276;245;176;293
15-11-2007;18:45:00;144;241;220;167;220;209;240;225;156;255
15-11-2007;19:00:00;131;188;198;157;207;172;218;179;137;248
15-11-2007;19:15:00;103;165;133;103;153;152;183;182;143;190
15-11-2007;19:30:00;80;138;143;100;167;129;180;145;113;181
15-11-2007;19:45:00;89;124;146;115;171;125;178;142;110;196
15-11-2007;20:00:00;79;114;110;87;129;117;149;144;114;153
15-11-2007;20:15:00;75;133;110;95;132;143;143;151;108;164
15-11-2007;20:30:00;73;124;77;61;105;130;118;134;102;132
15-11-2007;20:45:00;65;93;78;56;92;93;112;95;86;110
15-11-2007;21:00:00;74;106;64;58;74;111;90;118;94;91
15-11-2007;21:15:00;57;92;67;59;90;98;97;104;81;126
15-11-2007;21:30:00;69;97;68;52;89;102;96;106;82;126
15-11-2007;21:45:00;70;110;70;63;87;94;95;103;97;115
15-11-2007;22:00:00;59;93;79;68;95;90;109;98;62;127
15-11-2007;22:15:00;54;76;60;53;98;95;93;100;90;109
15-11-2007;22:30:00;72;106;84;71;99;90;113;91;66;113
15-11-2007;22:45:00;83;121;83;73;77;90;82;92;92;81
15-11-2007;23:00:00;49;73;59;50;77;73;83;71;44;77
15-11-2007;23:15:00;60;66;50;47;89;79;94;76;63;89
15-11-2007;23:30:00;34;54;36;36;51;63;57;63;40;58
15-11-2007;23:45:00;34;57;43;43;47;63;50;66;45;58
16-11-2007;00:00:00;35;43;17;20;33;52;34;54;50;56
16-11-2007;00:15:00;25;35;16;18;23;39;31;43;25;43
16-11-2007;00:30:00;11;17;15;14;18;23;15;21;18;27
16-11-2007;00:45:00;7;7;6;7;13;23;16;21;15;19
16-11-2007;01:00:00;11;15;8;10;14;16;12;15;18;18
16-11-2007;01:15:00;7;11;7;10;12;14;14;14;15;15
16-11-2007;01:30:00;9;8;7;8;16;19;18;18;16;19
16-11-2007;01:45:00;6;6;7;6;7;7;8;7;9;8
16-11-2007;02:00:00;1;1;1;1;2;2;2;2;3;2
16-11-2007;02:15:00;2;2;3;2;7;7;7;7;6;7
16-11-2007;02:30:00;2;2;3;2;3;3;3;4;3;3
16-11-2007;03:00:00;4;5;5;4;13;11;12;12;10;14
16-11-2007;03:30:00;2;3;2;2;9;12;9;13;13;9
16-11-2007;03:45:00;10;10;12;9;9;7;14;7;7;13
16-11-2007;04:15:00;4;3;4;4;5;5;5;5;7;5
16-11-2007;04:30:00;7;8;7;5;13;12;11;13;11;13
16-11-2007;04:45:00;10;11;13;10;26;21;22;18;21;30
16-11-2007;05:00:00;14;14;19;17;19;15;23;14;21;27
16-11-2007;05:15:00;16;21;23;26;31;24;30;29;31;33
16-11-2007;05:30:00;21;20;22;28;37;32;37;32;36;38
16-11-2007;05:45:00;33;46;46;67;74;57;67;64;78;81
16-11-2007;06:00:00;57;78;81;104;94;90;96;97;92;106
16-11-2007;06:15:00;57;82;102;127;127;85;128;96;96;150
16-11-2007;06:30:00;97;139;141;175;196;151;181;148;155;211
16-11-2007;06:45:00;145;254;241;256;293;272;283;279;236;322
16-11-2007;07:00:00;195;320;342;375;419;324;397;333;246;423
16-11-2007;07:15:00;262;340;390;399;518;353;461;350;288;479
16-11-2007;07:30:00;302;452;411;401;535;464;483;466;391;503
16-11-2007;07:45:00;390;588;484;490;626;584;564;571;497;615
16-11-2007;08:00:00;387;623;507;524;600;590;540;564;445;571
16-11-2007;08:15:00;331;574;449;440;552;567;498;559;410;567
16-11-2007;08:30:00;371;657;460;461;549;606;510;615;441;548
16-11-2007;08:45:00;332;603;446;497;523;571;489;569;417;524
16-11-2007;09:00:00;257;469;364;415;445;446;422;465;323;427
16-11-2007;09:15:00;204;332;356;373;406;326;399;322;236;421
16-11-2007;09:30:00;186;302;286;280;343;312;336;303;260;357
16-11-2007;09:45:00;193;318;265;244;331;318;330;318;285;357
16-11-2007;10:00:00;211;328;250;235;311;299;297;297;246;328
16-11-2007;10:15:00;185;341;233;206;286;324;288;325;286;342
16-11-2007;10:30:00;191;331;237;237;292;334;307;337;259;331
16-11-2007;10:45:00;199;336;296;258;302;347;305;348;288;349
16-11-2007;11:00:00;220;354;261;268;302;351;316;360;303;367
16-11-2007;11:15:00;188;336;306;249;340;317;350;341;295;385
16-11-2007;11:30:00;212;365;321;268;380;378;378;387;351;417
16-11-2007;11:45:00;223;365;296;270;351;349;349;351;302;427
16-11-2007;12:00:00;224;395;318;280;333;377;365;399;349;388
16-11-2007;12:15:00;200;347;278;229;341;363;368;377;344;408
16-11-2007;12:30:00;201;348;273;255;339;362;333;394;357;410
16-11-2007;12:45:00;211;335;294;267;332;317;339;342;329;392
16-11-2007;13:00:00;216;373;304;268;337;363;349;365;300;389
16-11-2007;13:15:00;209;385;353;287;382;375;384;381;371;432
16-11-2007;13:30:00;194;333;334;281;360;323;355;339;343;409
16-11-2007;13:45:00;199;384;309;278;343;377;360;409;352;385
16-11-2007;14:00:00;257;433;395;334;429;395;425;434;369;540
16-11-2007;14:15:00;255;514;374;321;431;481;431;481;419;516
16-11-2007;14:30:00;256;496;348;296;411;463;409;484;417;493
16-11-2007;14:45:00;231;483;377;327;434;454;431;482;434;496
16-11-2007;15:00:00;252;479;383;351;494;451;508;448;442;556
16-11-2007;15:15:00;261;522;498;398;550;491;564;529;513;639
16-11-2007;15:30:00;247;471;443;381;541;447;516;476;418;648
16-11-2007;15:45:00;239;475;465;388;526;449;518;459;455;609
16-11-2007;16:00:00;222;477;457;378;567;441;558;451;414;619
16-11-2007;16:15:00;225;448;449;376;566;438;556;481;439;642
16-11-2007;16:30:00;226;422;390;327;470;407;483;434;401;556
16-11-2007;16:45:00;202;381;374;299;436;379;461;418;357;497
16-11-2007;17:00:00;205;380;355;305;432;370;448;400;326;478
16-11-2007;17:15:00;170;303;309;260;356;292;384;334;303;430
16-11-2007;17:30:00;144;235;258;218;347;237;369;275;216;406
16-11-2007;17:45:00;149;254;247;209;314;265;335;297;245;369
16-11-2007;18:00:00;126;231;226;176;280;236;303;262;192;309
16-11-2007;18:15:00;108;186;196;157;238;180;267;203;171;264
16-11-2007;18:30:00;125;198;165;147;225;197;247;225;160;252
16-11-2007;18:45:00;105;176;167;119;180;166;196;197;156;197
16-11-2007;19:00:00;113;156;142;97;159;156;187;164;94;187
16-11-2007;19:15:00;82;124;124;96;141;125;166;159;142;136
16-11-2007;19:30:00;76;104;112;93;128;114;161;132;100;136
16-11-2007;19:45:00;52;102;91;74;113;110;140;113;93;143
16-11-2007;20:00:00;60;91;86;63;90;99;112;100;57;122
16-11-2007;20:15:00;50;70;66;51;71;73;90;87;75;95
16-11-2007;20:30:00;48;67;60;52;65;68;79;75;59;72
16-11-2007;20:45:00;30;45;47;47;67;65;75;71;57;96
16-11-2007;21:00:00;46;55;51;45;52;61;64;66;68;83
16-11-2007;21:15:00;36;60;54;50;64;65;66;72;77;80
16-11-2007;21:30:00;39;56;49;42;57;68;69;62;55;70
16-11-2007;21:45:00;38;56;47;42;53;67;62;69;68;72
16-11-2007;22:00:00;37;65;45;32;58;62;66;66;64;67
16-11-2007;22:15:00;48;77;56;55;78;88;89;91;94;101
16-11-2007;22:30:00;60;81;69;64;76;74;82;90;85;86
16-11-2007;22:45:00;64;86;73;76;66;94;88;88;80;92
16-11-2007;23:00:00;55;75;50;59;72;86;92;98;65;88
16-11-2007;23:15:00;52;73;55;57;73;74;82;73;53;75
16-11-2007;23:30:00;55;69;50;58;77;63;81;67;61;67
16-11-2007;23:45:00;46;75;43;30;63;71;58;75;73;75
17-11-2007;00:00:00;52;83;42;34;52;65;50;70;58;67
17-11-2007;00:15:00;30;37;25;25;45;42;51;59;50;62
17-11-2007;00:30:00;27;43;32;26;53;58;53;52;44;61
17-11-2007;00:45:00;17;29;23;19;51;40;43;31;42;55
17-11-2007;01:00:00;33;34;24;25;30;39;41;37;38;39
17-11-2007;01:15:00;24;24;21;24;41;32;44;30;23;37
17-11-2007;01:30:00;9;15;11;10;17;28;22;24;23;19
17-11-2007;01:45:00;9;13;10;9;28;27;31;22;35;33
17-11-2007;02:00:00;11;16;11;12;11;8;10;8;9;11
17-11-2007;02:15:00;16;23;11;10;14;28;12;22;15;16
17-11-2007;02:30:00;7;9;6;7;19;17;15;21;13;19
17-11-2007;02:45:00;3;4;3;3;10;15;10;15;15;11
17-11-2007;03:00:00;1;1;1;2;7;6;6;7;8;8
17-11-2007;03:15:00;3;3;4;4;5;5;6;5;6;5
17-11-2007;03:30:00;7;11;9;9;6;7;7;8;6;6
17-11-2007;03:45:00;5;4;5;6;9;10;17;9;8;13
17-11-2007;04:00:00;4;6;4;4;11;14;13;13;14;11
17-11-2007;04:15:00;2;1;1;1;10;7;9;7;7;9
17-11-2007;04:30:00;6;9;6;6;14;11;14;11;10;11
17-11-2007;04:45:00;7;9;6;7;11;11;11;11;9;12
17-11-2007;05:00:00;3;3;4;5;15;12;24;12;14;18
17-11-2007;05:15:00;2;2;3;2;12;15;15;14;14;13
17-11-2007;05:30:00;7;7;14;9;16;15;17;17;23;17
17-11-2007;05:45:00;4;5;5;4;13;16;13;14;17;11
17-11-2007;06:00:00;15;20;12;13;20;25;20;21;14;27
17-11-2007;06:15:00;6;4;6;4;15;14;17;13;17;21
17-11-2007;06:30:00;13;21;19;15;20;27;24;22;22;31
17-11-2007;06:45:00;17;20;14;11;35;35;38;38;38;40
17-11-2007;07:00:00;45;43;32;33;51;49;49;50;53;50
17-11-2007;07:15:00;45;40;43;38;67;48;68;43;53;43
17-11-2007;07:30:00;52;56;40;41;48;53;43;59;54;64
17-11-2007;07:45:00;42;57;42;37;51;66;47;67;64;64
17-11-2007;08:00:00;62;68;58;58;64;72;62;80;55;61
17-11-2007;08:15:00;41;48;36;34;60;64;62;66;66;79
17-11-2007;08:30:00;56;74;57;48;71;80;73;95;66;80
17-11-2007;08:45:00;64;75;60;61;89;76;96;80;89;114
17-11-2007;09:00:00;70;91;86;74;99;110;105;106;89;108
17-11-2007;09:15:00;65;91;92;79;101;86;107;90;85;114
17-11-2007;09:30:00;80;113;93;82;118;129;132;126;94;133
17-11-2007;09:45:00;70;115;105;88;138;133;136;133;135;157
17-11-2007;10:00:00;120;177;144;111;158;192;161;195;144;187
17-11-2007;10:15:00;100;151;126;106;173;170;166;177;137;185
17-11-2007;10:30:00;98;151;124;100;162;196;173;222;138;190
17-11-2007;10:45:00;112;187;164;135;218;202;211;218;202;216
17-11-2007;11:00:00;135;204;148;133;213;215;204;234;178;217
